score,curlUps,pushUps,runTime,bracket
100,109,51,09:29,Outstanding High
95,107,50,11:15,Outstanding Medium
90,102,47,11:30,Outstanding Low
85,98,45,11:45,Excellent High
80,93,43,12:00,Excellent Medium
75,90,42,12:30,Excellent Low
70,81,36,12:45,Good High
65,71,30,13:00,Good Medium
60,62,24,13:30,Good Low
55,59,22,14:15,Satisfactory High
50,54,20,14:45,Satisfactory Medium
45,50,19,15:00,Probationary
