score,curlUps,pushUps,runTime,bracket
100,105,48,09:47,Outstanding High
95,103,47,11:15,Outstanding Medium
90,98,44,11:30,Outstanding Low
85,94,43,12:15,Excellent High
80,90,40,12:45,Excellent Medium
75,87,39,13:15,Excellent Low
70,78,33,13:30,Good High
65,66,28,13:45,Good Medium
60,58,21,14:15,Good Low
55,54,20,15:00,Satisfactory High
50,50,17,15:15,Satisfactory Medium
45,46,16,15:30,Probationary
